,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
0,29663807,53594852,56680651,42380173,58685231,92316243,38188628,88472576,1063292,78677567,77190054,60915155,65911226,39469139,k0q6B
1,99078235,69623424,40459530,68561913,23950954,34852121,9786314,22926388,65992845,14791155,30164799,15609758,39991544,91903590,x8RBu
2,73361737,65787410,78057395,54581448,4241573,95396277,44621633,62680679,73143867,37041809,59401435,64169659,92929424,36789133,AhnDt
3,31339967,87184161,56714122,17803962,4001395,88688328,48027435,84739453,39856061,87546884,36385489,1963517,25693647,13474885,l3Fj1
4,78479908,25770091,26838144,62525632,94920511,43227406,69754651,16136450,77224398,66378039,99847022,16884926,6151150,22356208,2ArHt
5,40275010,72468239,14420818,84770543,55880447,58920031,51034241,53434831,46703208,65575820,25810921,63272761,11473583,6111166,W3nTo
6,89625194,63241173,9479135,196793,9880780,75881852,77811834,68713460,10325701,27210101,41593819,395609,73800471,68894422,fX5Ae
7,84252408,90584330,30887789,3197761,7371470,1768175,75515969,39530036,95583140,55832697,2855268,50992826,39178221,63008391,muyOM
8,71288491,79015730,12250725,26292833,28365987,84279043,75525798,2818119,57619845,80585203,99431268,23833009,23326631,93094084,Ugvp1
9,99901357,24501479,26234671,94007412,28297163,80248714,18267686,493173,65100692,75460920,5643444,95097762,74750515,78596769,L3K7B
10,8224075,99332364,36002359,45961239,68866191,38191797,43440930,51425896,63096528,39249715,15417906,32192072,62236556,32519312,1LvYi
11,49917013,10515475,81514904,99692989,71598835,95317117,418350,47777423,7620238,64974902,93977870,35288913,46967676,54054253,H3I47
12,23230906,50643298,12851198,98470422,32552186,83894028,59702059,79607962,97471272,85923525,89011157,69495507,76036336,7361845,xvHgD
13,45402618,35680945,10525886,70033091,20377745,63889505,43899137,19549957,75581749,22131674,51146467,10121425,20330341,25843576,5JJDR
14,55106143,37089100,62151075,48714721,85606738,18311851,44592663,20501915,24100297,62701304,24468348,45689578,6657809,66431858,EBRWo
15,91726124,32281424,72018266,9942425,59051488,43938464,85614305,55240297,6488035,61560724,44133062,83042808,92099728,50364052,qdUr6
16,24325507,38223105,92765923,48683057,61105595,24612832,27173312,42907484,66037205,31425000,963387,6013181,47460674,35860458,4E556
17,57359690,34344309,40193097,9058686,34744384,6857281,16510248,78057888,21665422,98843882,93922492,75653463,32028286,93885310,G377u
18,84532621,32988771,59747513,99171301,47991819,38380665,57683094,88606032,94592302,85272628,41371659,5357369,52438544,23581179,ROmak
19,11346419,22431348,45803397,12305363,48030375,57462176,60858728,62458956,55368424,67614301,6426482,91166174,9135886,58562625,mjDeu
20,33302365,124616,27728530,84109042,33447921,69127622,39039821,21670300,84125128,78787715,21710981,95421463,91852645,34534031,ecq1K
21,73529426,26184151,96006442,36194365,64929095,41427470,210575,94509840,8108066,47219071,92951184,24450498,16855883,93832368,as5kA
22,59425349,96335835,35753295,17243981,92876402,25029999,16049448,84655914,68194542,7546723,4696728,44610212,25372878,24540019,vNuS7
23,37888708,97431868,47158398,60893529,85476686,66520763,22707375,65504776,97199303,42243974,3201020,74490403,648670,28328393,yO05R
24,21948234,25792964,60063124,87015269,2319620,64724004,21854782,47018042,33754649,97662440,89175773,97482975,25997761,69370947,RVWzZ
25,80848060,39866257,71908434,91050540,56153970,19204701,32315959,62103896,27821252,43519416,3794128,85061457,2818869,41275302,J8W3c
26,57034318,32905068,28425001,71278210,50781745,55426431,11705801,63137851,25674517,77835585,41171413,86153083,49109146,23307163,eGjfw
27,52199090,75462094,86720876,42135668,76550238,45630902,81798694,90541458,21488847,83853000,76747912,35966538,42516913,86400865,UyC18
28,73830701,52535764,74272021,15867539,97409499,1375054,92690952,86620467,20144785,29979028,98558545,89356982,92991502,40097344,5yOOc
29,41313941,6710306,73377357,71514859,35578330,5452807,40438255,85048312,37257631,46990841,45225895,61543461,94384592,48084373,bS7PW
30,83203541,40967493,82301434,74664956,71079930,17469347,46729965,47357420,29088691,95318803,70327898,75172397,43326022,87276623,X0ysP
31,46597324,49233056,62606060,23403345,19194937,85098710,35001940,44679441,95677849,41302135,95998638,72523136,36718998,76866084,PlX5M
32,39479221,91010385,87762460,52580141,36995103,32635309,27486750,61265432,25652315,4024437,35544190,26933662,10175004,61169672,xbZow
33,16008983,36695760,78684760,89557710,89666577,2295644,43068573,61496537,61018673,69103801,6040018,45616459,65716368,8782701,zRjI2
34,64528758,14935667,49129297,59344454,10488141,12706641,52945662,20063951,78912154,45827651,68380207,87248041,56064006,69489189,q4PYr
35,89557233,20991336,24577874,74249789,70589617,63777365,74988383,96303491,64608111,74290479,43366159,9920348,9663166,66270675,4e5mc
36,97259074,83771849,82625241,66980280,91324649,75490958,72092139,82177927,87292849,41546307,31067926,31248502,77234474,3535353,33oIv
37,56252684,69006178,26747506,13382191,35223535,59871468,96497058,98107343,74485744,58166928,60093381,37731587,66791524,45192027,O9UpT
38,67145955,43678416,76637493,36553030,94250428,48075329,68764740,86859905,40065370,79770249,86858252,11608001,83150087,48548969,S9kBl
39,76721374,15553261,14802517,21826782,45214119,97446254,54916351,20804757,11559992,67981707,65259645,66987570,3159305,36402212,m5AIO
40,86959802,81273874,69863500,94782615,95080382,47688105,31188382,52117836,77107180,4605442,32562710,77905855,7366385,65682147,IOUQI
41,24063335,53669901,14974301,89496760,93945426,38535960,14216189,6225197,77728023,60820132,6728823,75858689,45631468,28778285,QpBCd
42,78510325,11287896,38369472,59567916,40226218,49487643,68115503,59662120,69429039,35894222,16057255,55690694,43341126,45768812,FJNSZ
43,77740009,89792775,59289686,61261510,47424213,66753310,62754659,32510041,85090192,95731086,71114155,28014350,60249190,3219209,91OOA
44,727229,97912636,41518071,58867812,11705622,48587910,65845183,3973893,58115171,13879726,34968304,8152473,7758806,55640229,ZFuim
45,54007044,95059914,38483024,99538180,49252273,44225484,44885208,44044870,4527137,78516596,36883892,71758196,34961991,27927528,c53eZ
46,98802510,86625609,26383874,24158210,7157228,20417202,32141261,37178928,80283488,92578409,59895293,34623473,57292427,41673859,7GJZK
47,15970858,57180326,49071083,56595682,3723724,56099372,20836988,15828391,82904725,2783283,94202235,42540786,77401141,80431573,PZnXN
48,12787609,22002617,58243901,89301808,43135605,24552776,65446400,51817549,35801539,64419034,55686211,14984231,83325256,89394620,4Hogt
49,29179205,98622155,7469978,50603501,81505425,63318154,9055119,43540618,11931438,80612847,34666424,49210885,1680897,15452334,6GxNq
50,80067086,87756931,53687873,92757199,5903119,91106109,86239841,36095192,74352830,8513180,13568786,19914820,76229817,14583075,kh2W7
51,28861022,54255548,9405476,29310084,93729479,67245825,77730193,87924948,25195420,20512499,6686162,31221477,99293690,77271013,EGUTP
52,71661583,4768488,7971233,68206352,2682147,24318020,34129340,21051798,45209934,66575852,90948654,54285684,62086433,743817,AEJRC
53,1835373,68366108,23253114,43818160,23968451,60842217,8544741,35730127,50920509,69231528,68177395,71287472,93497043,33773479,uONac
